"Name","Member State","Loyal / Rebel to political group","Vote","Group"
"Petru Constantin LUHAN","Romania","Loyal","Against","EPP"
"Astrid LULLING","Luxembourg","Loyal","Against","EPP"
"Ulrike LUNACEK","Austria","Loyal","Against","Greens/EFA"
"George LYON","United Kingdom","Loyal","Against","ALDE/ADLE"
"Juan Fernando LÓPEZ AGUILAR","Spain","Rebel","For","S&D"
"Antonio LÓPEZ-ISTÚRIZ WHITE","Spain","Absent","Absent","EPP"
"Sabine LÖSING","Germany","Loyal","For","GUE-NGL"
"Isabella LÖVIN","Sweden","Loyal","Against","Greens/EFA"
"Morten LØKKEGAARD","Denmark","Loyal","Against","ALDE/ADLE"
"Monica Luisa MACOVEI","Romania","Loyal","Against","EPP"
"Barry MADLENER","Netherlands","Absent","Absent","NI"
"Svetoslav Hristov MALINOV","Bulgaria","Loyal","Against","EPP"
"Toine MANDERS","Netherlands","Loyal","Against","ALDE/ADLE"
"Thomas MANN","Germany","Loyal","Against","EPP"
"Bogdan Kazimierz MARCINKIEWICZ","Poland","Loyal","Against","EPP"
"Marian-Jean MARINESCU","Romania","Loyal","Against","EPP"
"David MARTIN","United Kingdom","Loyal","Against","S&D"
"Hans-Peter MARTIN","Austria","Independent","Against","NI"
"Miguel Angel MARTÍNEZ MARTÍNEZ","Spain","Loyal","Against","S&D"
"Antonio MASIP HIDALGO","Spain","Loyal","Against","S&D"
"Clemente MASTELLA","Italy","Loyal","Against","EPP"
"Barbara MATERA","Italy","Loyal","Against","EPP"
"Véronique MATHIEU HOUILLON","France","Loyal","Against","EPP"
"Marisa MATIAS","Portugal","Loyal","For","GUE-NGL"
"Gabriel MATO ADROVER","Spain","Rebel","For","EPP"
"Iosif MATULA","Romania","Loyal","Against","EPP"
"Mario MAURO","Italy","Loyal","Against","EPP"
"Hans-Peter MAYER","Germany","Loyal","Against","EPP"
"Jaime MAYOR OREJA","Spain","Loyal","Against","EPP"
